credit_score,dti,num_defaults,annual_income,employment_years,age,loan_amount,label
647,0.425,0,77301,2.5,45,26737,denied
596,0.397,1,15000,2.0,59,18350,denied
702,0.292,0,53765,3.6,21,1000,approved
737,0.0,0,37657,7.3,46,13502,approved
744,0.202,0,89209,16.9,69,28186,approved
681,0.367,0,44551,6.4,60,16873,approved
759,0.251,0,78865,0.8,20,25258,approved
669,0.324,0,70968,2.6,18,20605,approved
611,0.284,0,95992,2.1,74,1329,denied
718,0.194,0,15000,10.8,61,2423,approved
760,0.318,2,77710,2.6,65,10781,denied
625,0.419,1,88870,23.6,35,24663,denied
660,0.496,0,15000,2.0,28,5385,denied
686,0.249,0,47529,6.4,22,26675,approved
815,0.369,0,104795,2.3,39,36176,approved
711,0.234,0,119086,2.3,60,44024,approved
672,0.157,0,107591,8.7,51,28413,approved
658,0.244,0,59388,1.8,64,21683,approved
557,0.444,0,69659,8.0,68,17747,denied
553,0.624,0,77818,4.3,34,4127,denied
750,0.248,0,77730,7.8,61,22671,approved
636,0.436,0,95974,3.3,32,25064,denied
464,0.536,2,45427,12.6,64,9869,denied
702,0.606,0,46476,22.2,59,23369,denied
663,0.179,0,47767,20.5,25,1000,approved
696,0.193,0,117714,10.2,57,25757,approved
714,0.284,0,96570,10.2,25,5274,approved
777,0.337,0,62165,24.7,26,9596,approved
774,0.148,3,75612,0.2,29,1000,denied
680,0.202,0,51495,1.8,46,1000,approved
677,0.097,0,55185,8.8,44,33250,approved
591,0.432,1,28550,3.6,60,12137,denied
739,0.347,0,44758,3.9,27,19703,approved
716,0.416,0,48708,8.2,19,23717,denied
710,0.104,0,70264,6.4,46,27018,approved
624,0.307,0,104455,16.7,43,1000,denied
590,0.319,0,97832,6.4,68,10524,denied
617,0.488,0,50178,15.6,58,14453,denied
709,0.43,1,62023,10.8,50,41058,denied
659,0.341,1,99108,14.4,29,9909,denied
681,0.189,1,59559,0.0,55,3667,denied
704,0.381,0,82131,12.1,57,20103,approved
669,0.068,0,107205,0.5,68,21949,approved
644,0.26,1,61320,2.5,51,33451,denied
609,0.253,2,51276,17.8,51,17361,denied
787,0.255,0,48314,12.6,21,16677,approved
572,0.211,0,50605,11.2,64,8228,denied
731,0.229,0,73156,10.2,28,20094,approved
723,0.4,2,53513,0.7,55,23004,denied
756,0.409,0,130389,4.7,53,29237,denied
737,0.323,0,24001,2.1,75,23601,approved
509,0.556,0,39720,21.7,66,30234,denied
708,0.34,0,28168,14.8,50,30024,approved
648,0.273,0,99700,5.6,23,32874,approved
622,0.449,1,63602,8.9,61,32466,denied
678,0.301,0,48186,6.6,25,27672,approved
653,0.256,0,102137,17.7,26,20831,approved
678,0.276,0,108675,0.8,68,19054,approved
791,0.583,0,58227,1.5,64,4272,denied
681,0.196,0,33642,3.1,40,22820,approved
638,0.203,2,53777,6.6,22,26092,denied
695,0.365,0,79765,6.4,37,32528,approved
705,0.381,0,61297,1.4,22,35275,approved
611,0.104,0,97739,5.8,46,27261,denied
709,0.0,0,112422,2.1,28,14870,approved
630,0.123,0,48024,0.3,26,29871,denied
743,0.373,0,54707,11.2,67,14649,approved
766,0.303,0,72282,1.4,47,1000,approved
737,0.245,0,111051,7.6,33,16912,approved
839,0.276,0,132965,6.0,28,44034,approved
677,0.174,1,33915,2.7,28,30710,denied
662,0.434,0,68595,0.4,60,1000,denied
711,0.119,0,94470,1.3,22,32996,approved
667,0.074,0,65311,6.0,65,25509,approved
664,0.0,0,29401,9.5,72,19834,approved
596,0.257,0,23088,0.6,60,9979,denied
634,0.505,2,48976,9.3,38,33675,denied
716,0.47,2,78810,8.5,19,27990,denied
620,0.122,0,85099,6.5,48,20962,denied
729,0.174,1,80515,2.5,58,19684,denied
643,0.252,0,71792,0.1,74,35044,approved
757,0.254,0,113279,0.2,21,17431,approved
738,0.403,2,19478,4.3,31,3372,denied
539,0.548,0,93320,39.0,22,22922,denied
761,0.0,1,94425,1.4,75,22865,denied
850,0.255,2,87136,4.2,46,24542,denied
703,0.11,0,54391,15.4,37,1000,approved
718,0.41,0,89864,5.9,38,8618,denied
666,0.408,0,87188,1.8,74,11054,denied
702,0.253,0,41001,18.7,28,9295,approved
563,0.323,0,99867,6.4,57,13614,denied
596,0.341,0,85540,6.7,40,30948,denied
751,0.338,0,96435,3.2,51,12483,approved
680,0.521,1,90630,7.0,49,15432,denied
597,0.353,0,75780,2.9,30,30685,denied
693,0.355,0,101752,4.6,19,8102,approved
633,0.173,0,79228,24.5,20,1632,denied
766,0.177,0,91244,4.8,43,1000,approved
740,0.352,0,53201,0.8,19,11747,approved
738,0.378,0,106180,0.5,42,1000,approved
676,0.347,0,84621,5.5,26,36366,approved
674,0.268,0,126633,4.5,39,18293,approved
649,0.25,0,19868,0.7,24,6557,approved
670,0.219,0,29074,0.8,44,22874,approved
770,0.143,0,53689,4.3,20,33749,approved
719,0.191,0,63140,27.6,36,38348,approved
612,0.634,0,51192,4.3,38,37463,denied
689,0.176,0,96567,2.8,38,30663,approved
635,0.14,0,114952,1.0,74,26452,denied
657,0.287,0,90576,2.2,37,11184,approved
608,0.564,0,91065,5.6,59,16128,denied
663,0.371,0,109195,10.2,26,12365,approved
560,0.212,0,78477,2.8,45,4565,denied
608,0.45,0,87684,10.4,44,2000,denied
642,0.391,0,73956,13.8,53,16292,approved
650,0.299,0,114406,0.6,61,6972,approved
706,0.344,0,94858,13.3,66,31246,approved
706,0.028,0,48595,6.6,41,21356,approved
783,0.182,0,117481,14.0,22,16255,approved
722,0.273,2,99133,8.2,29,11790,denied
730,0.0,1,81740,0.1,33,14641,denied
748,0.241,0,59059,1.9,45,12040,approved
781,0.421,0,61782,13.3,61,1000,denied
790,0.347,0,85468,3.7,72,44053,approved
647,0.281,0,86696,0.7,54,31177,approved
710,0.4,0,87950,1.5,20,10620,denied
706,0.353,0,80560,7.8,40,34705,approved
757,0.303,0,111718,1.8,36,39997,approved
661,0.549,1,89205,17.0,58,2369,denied
639,0.17,2,60976,12.1,46,10717,denied
644,0.291,0,77729,12.1,22,10062,approved
517,0.349,0,90611,5.3,74,27183,denied
766,0.333,0,83865,0.0,69,1000,approved
698,0.298,0,98357,7.2,70,1000,approved
570,0.312,0,54909,0.3,68,48774,denied
618,0.319,1,86139,2.1,19,22268,denied
635,0.201,0,74342,1.3,35,18750,denied
730,0.654,0,58543,4.4,42,1000,denied
680,0.552,0,48102,6.8,24,39275,denied
627,0.487,0,77219,7.3,61,6093,denied
595,0.307,0,46338,3.2,64,23568,denied
546,0.37,0,53559,1.7,62,28678,denied
635,0.672,0,15000,1.8,58,1000,denied
675,0.264,0,108287,9.5,44,43458,approved
651,0.567,0,85566,7.1,65,29153,denied
703,0.35,2,42016,4.3,70,16357,denied
608,0.48,0,78122,17.2,67,49188,denied
784,0.282,0,115242,22.0,44,30880,approved
615,0.284,0,76442,21.6,75,9266,denied
643,0.26,0,86516,1.0,61,4707,approved
703,0.189,0,67725,5.1,31,12558,approved
600,0.249,0,53480,1.3,33,8524,denied
664,0.311,0,96323,1.1,24,15909,approved
666,0.349,0,83846,5.4,62,25092,approved
625,0.297,0,100970,2.8,73,29064,denied
670,0.146,0,143379,2.1,64,22110,approved
628,0.226,0,55817,3.1,74,33306,denied
606,0.172,0,90658,3.0,50,18471,denied
771,0.251,0,89862,4.3,75,34370,approved
633,0.484,0,39998,3.5,69,11583,denied
795,0.263,0,60648,2.8,60,17446,approved
781,0.382,0,95445,0.0,59,28717,approved
733,0.188,2,15000,10.0,57,34166,denied
747,0.465,0,47783,2.6,43,4646,denied
627,0.365,0,127750,0.4,52,18767,denied
756,0.551,1,81484,32.2,57,33399,denied
650,0.116,0,65073,24.4,20,1000,approved
614,0.271,3,62379,0.6,46,5487,denied
729,0.602,0,19431,0.3,58,32237,denied
544,0.333,0,77704,8.7,44,12309,denied
768,0.587,2,40900,1.9,72,34554,denied
714,0.257,0,45047,2.5,24,18775,approved
815,0.31,0,85277,7.6,27,21367,approved
718,0.485,0,43351,3.2,46,15754,denied
607,0.321,2,118876,5.8,41,30921,denied
503,0.402,0,113198,3.0,19,10370,denied
608,0.301,0,50727,14.6,63,36419,denied
684,0.32,0,69682,4.1,43,37896,approved
665,0.339,2,93757,2.9,55,13981,denied
754,0.36,0,27818,2.5,32,11977,approved
801,0.242,0,110527,0.5,46,8908,approved
700,0.268,0,43608,22.9,19,1000,approved
655,0.0,0,56979,20.7,51,15191,approved
648,0.75,0,57369,7.8,52,28271,denied
658,0.263,0,83590,0.8,52,5091,approved
596,0.069,1,58712,3.9,37,31380,denied
657,0.323,0,59074,2.5,46,5197,approved
666,0.434,0,28686,1.6,58,16217,denied
778,0.146,0,75682,10.7,66,35150,approved
569,0.323,0,56951,3.5,33,10219,denied
761,0.413,3,59038,1.3,32,13540,denied
752,0.203,0,119331,1.2,49,12576,approved
731,0.386,1,66869,4.3,23,6291,denied
658,0.174,0,53155,12.4,24,9248,approved
713,0.326,2,91538,3.8,29,5098,denied
699,0.349,0,40177,9.4,30,13736,approved
795,0.164,0,105697,3.3,23,18664,approved
842,0.239,0,68299,2.6,57,33941,approved
666,0.173,0,54641,1.2,50,18810,approved
541,0.157,1,76058,2.1,58,15540,denied
725,0.342,0,82857,0.1,48,23300,approved
737,0.501,0,78493,4.0,61,8282,denied
639,0.412,0,76401,5.1,35,4070,denied
824,0.482,0,87656,2.3,24,38670,denied
746,0.432,0,43100,3.3,50,19058,denied
660,0.361,0,80204,4.5,19,33366,approved
650,0.335,0,99193,6.4,60,23107,approved
698,0.353,0,81995,19.0,30,5308,approved
762,0.204,0,33541,6.3,61,15653,approved
672,0.168,0,31731,6.4,53,10337,approved
620,0.461,2,66772,10.6,49,41483,denied
568,0.551,0,28687,0.1,20,33606,denied
650,0.381,1,67778,0.6,24,8672,denied
684,0.232,0,53282,1.4,33,24878,approved
803,0.128,0,154133,4.4,71,11009,approved
735,0.27,0,107739,3.7,31,11225,approved
721,0.326,0,87427,9.1,48,11323,approved
551,0.285,0,83351,0.4,67,11819,denied
719,0.058,0,74862,1.0,23,16299,approved
828,0.364,0,81968,4.2,18,1000,approved
644,0.405,0,54891,3.0,52,31125,denied
621,0.376,0,40402,1.6,45,1000,denied
734,0.428,0,60278,16.6,38,22551,denied
788,0.356,0,24255,11.0,66,8813,approved
667,0.312,2,81605,2.5,66,1000,denied
643,0.439,0,77875,7.9,29,19411,denied
582,0.476,0,154287,4.5,43,14268,denied
607,0.344,0,63818,2.1,37,18096,denied
618,0.293,0,23768,8.2,46,28944,denied
658,0.343,2,32984,3.7,23,26277,denied
711,0.254,0,65139,7.3,29,1000,approved
726,0.159,0,38191,4.5,34,22201,approved
597,0.281,0,58396,3.1,48,16722,denied
673,0.118,0,36013,40.0,19,11421,approved
738,0.202,0,78656,6.2,21,5363,approved
634,0.471,1,67987,5.6,60,34545,denied
654,0.243,0,72528,3.4,19,11495,approved
638,0.185,0,75464,11.8,51,10981,denied
723,0.393,0,78121,27.1,49,48462,approved
738,0.146,2,78188,9.7,40,24862,denied
642,0.366,0,106827,0.8,21,24935,approved
611,0.435,1,110203,12.6,54,22358,denied
705,0.268,0,46293,3.2,45,21574,approved
677,0.339,0,44750,5.7,21,1394,approved
666,0.052,3,88771,2.0,39,23954,denied
850,0.209,0,120649,9.9,54,15811,approved
611,0.235,2,49209,2.5,23,23552,denied
656,0.317,1,71356,2.4,49,22992,denied
570,0.479,0,81760,0.1,25,23659,denied
795,0.299,0,89748,1.8,48,24476,approved
752,0.242,0,31811,28.7,71,28782,approved
753,0.296,1,67821,9.3,24,27922,denied
832,0.704,1,76849,0.4,29,19795,denied
755,0.13,0,23215,12.5,44,15545,approved
767,0.407,0,79406,0.3,22,33607,denied
556,0.8,1,110205,26.0,56,8215,denied
669,0.495,0,83314,0.1,29,24674,denied
639,0.347,0,99662,3.6,56,9749,denied
688,0.509,0,35565,4.5,34,18745,denied
660,0.274,3,50456,9.2,47,20612,denied
659,0.36,0,61989,8.4,49,17824,approved
757,0.385,0,73097,5.4,74,5474,approved
615,0.063,0,33762,16.7,33,20964,denied
730,0.489,0,100993,8.4,67,23926,denied
789,0.037,0,89907,15.9,32,6737,approved
673,0.31,1,49709,2.5,39,1000,denied
648,0.281,0,61459,8.2,75,46941,approved
747,0.118,0,46403,2.4,30,19718,approved
589,0.547,0,83519,2.0,19,30545,denied
760,0.258,0,65898,0.7,33,4576,approved
777,0.157,0,135025,0.7,57,15538,approved
730,0.408,0,101889,4.2,55,43812,denied
758,0.317,0,78997,6.7,33,10907,approved
581,0.365,0,112474,1.4,69,27571,denied
778,0.078,0,60574,13.0,63,20324,approved
727,0.239,0,59548,11.9,36,4210,approved
656,0.365,0,93724,1.6,57,26019,approved
662,0.196,0,82690,6.6,55,20134,approved
677,0.11,1,86776,0.5,72,7695,denied
687,0.166,0,75541,0.6,41,25965,approved
821,0.188,0,61511,18.2,65,14211,approved
653,0.145,0,84121,0.4,54,19260,approved
678,0.59,0,15000,2.5,62,38495,denied
719,0.264,0,59523,2.2,69,16976,approved
660,0.055,0,83169,14.7,23,13527,approved
705,0.052,0,84448,40.0,67,16503,approved
641,0.244,0,55473,25.9,27,11181,approved
687,0.566,0,51193,8.8,64,5313,denied
766,0.34,0,81726,12.1,62,14766,approved
653,0.353,0,53326,2.6,49,13027,approved
600,0.607,0,21111,2.2,75,16961,denied
689,0.658,0,70103,12.0,68,9867,denied
788,0.183,1,73460,10.4,27,16534,denied
836,0.327,0,143730,1.1,19,38178,approved
768,0.204,0,115480,8.0,63,1143,approved
648,0.392,0,82528,13.6,19,1130,approved
670,0.209,0,68019,5.4,28,18503,approved
676,0.319,0,15000,4.0,40,15865,approved
721,0.263,0,51172,8.2,44,24493,approved
601,0.451,0,70495,0.7,59,27689,denied
730,0.335,0,94679,8.2,28,24990,approved
738,0.37,0,78806,2.7,57,16070,approved
670,0.616,0,111483,0.1,41,13747,denied
748,0.496,0,92080,6.5,41,20890,denied
850,0.183,0,108280,2.6,32,15240,approved
741,0.331,1,88727,2.7,48,1000,denied
731,0.295,0,79061,7.7,31,22959,approved
698,0.495,0,22333,3.8,39,26904,denied
732,0.757,0,46063,3.0,74,23267,denied
772,0.363,0,34736,3.2,43,16197,approved
725,0.357,1,134199,3.1,66,20376,denied
736,0.147,1,109106,6.8,56,35848,denied
643,0.22,0,90556,3.9,20,3222,approved
721,0.262,0,83931,2.9,27,16821,approved
677,0.515,0,40730,27.6,42,1000,denied
557,0.555,0,67285,0.7,65,1000,denied
724,0.45,0,82624,2.7,68,27771,denied
710,0.607,2,67127,0.8,67,13682,denied
586,0.345,3,73764,2.6,33,11722,denied
625,0.368,0,67137,12.8,59,16373,denied
671,0.575,0,59199,5.4,51,22169,denied
609,0.479,0,76927,11.8,37,25615,denied
779,0.105,1,99678,0.7,49,13119,denied
668,0.338,0,55347,23.1,58,23332,approved
748,0.329,0,63490,2.9,61,24259,approved
708,0.209,0,85569,0.0,27,33595,approved
675,0.252,0,69540,9.3,74,5537,approved
744,0.332,0,19524,0.7,40,16233,approved
694,0.265,0,70527,7.0,39,13574,approved
613,0.487,0,69093,1.3,69,1000,denied
767,0.206,0,27943,17.3,42,13146,approved
667,0.517,0,33437,4.7,64,18245,denied
743,0.367,0,88122,6.4,63,9163,approved
841,0.09,0,19626,14.0,19,12796,approved
511,0.318,0,77094,8.7,41,29469,denied
576,0.301,0,51435,6.7,57,4009,denied
663,0.423,1,94072,7.5,33,31216,denied
663,0.268,1,80572,0.9,55,25079,denied
740,0.28,0,80908,0.3,47,10928,approved
850,0.446,1,76273,23.2,25,1000,denied
806,0.204,0,95676,0.1,73,34324,approved
804,0.009,0,71043,2.3,35,28835,approved
599,0.59,0,58704,4.7,61,21385,denied
750,0.377,0,63372,15.2,56,28515,approved
707,0.409,0,97669,21.6,64,14160,denied
707,0.432,0,120772,11.3,59,15025,denied
662,0.281,2,93666,1.9,50,1000,denied
713,0.503,0,86938,0.1,72,9498,denied
677,0.037,0,74289,8.9,38,24749,approved
692,0.362,1,58042,19.5,25,18045,denied
701,0.544,0,100735,7.1,47,22399,denied
504,0.531,0,80352,12.4,29,35589,denied
644,0.491,0,75607,5.3,71,17025,denied
770,0.513,1,70017,0.7,56,40610,denied
634,0.335,1,64664,3.7,25,9359,denied
672,0.152,0,76659,6.0,31,30673,approved
679,0.323,0,82862,10.8,66,8318,approved
735,0.026,0,56091,16.4,68,41630,approved
769,0.481,0,19014,6.5,59,36728,denied
613,0.413,0,145948,11.4,22,14119,denied
704,0.546,0,75660,0.3,19,7377,denied
770,0.217,1,107098,10.9,26,1910,denied
741,0.463,0,72215,26.9,45,1000,denied
713,0.304,0,52903,2.3,39,1000,approved
624,0.46,2,58089,3.8,53,18762,denied
725,0.44,0,87648,14.7,29,13716,denied
668,0.565,1,32692,22.5,56,41051,denied
592,0.306,0,50860,2.6,74,20654,denied
650,0.604,0,97949,7.8,64,29834,denied
598,0.369,2,54147,2.3,51,1939,denied
650,0.228,0,82221,19.5,64,1000,approved
747,0.194,0,38497,0.1,71,42884,approved
794,0.747,0,59319,9.2,48,22903,denied
672,0.34,0,115573,3.1,23,13248,approved
660,0.358,0,91498,18.8,40,37493,approved
637,0.454,0,118603,13.3,70,31496,denied
622,0.355,0,81098,3.2,64,1000,denied
739,0.35,0,41549,11.0,66,1000,approved
758,0.396,0,99165,19.5,35,25886,approved
582,0.57,0,67472,1.3,72,32574,denied
626,0.513,0,32717,9.3,60,9284,denied
560,0.248,3,88186,1.3,48,29028,denied
544,0.151,0,75847,3.4,71,20887,denied
626,0.253,3,66454,0.4,65,17217,denied
671,0.306,1,92316,2.8,65,13012,denied
671,0.312,0,110192,3.0,30,26147,approved
629,0.337,0,58293,0.5,36,16832,denied
614,0.487,0,48144,0.0,45,19768,denied
748,0.276,0,102343,9.3,69,8744,approved
646,0.309,0,27559,1.5,57,11390,approved
747,0.199,0,50478,9.3,72,15696,approved
524,0.291,0,91111,9.6,71,1000,denied
640,0.151,0,69862,4.7,74,22687,approved
775,0.376,0,40178,3.7,74,8791,approved
651,0.111,0,17335,5.7,60,22673,approved
766,0.366,0,81738,4.1,52,34447,approved
642,0.374,0,69938,0.4,23,24490,approved
649,0.298,0,61218,3.4,54,11568,approved
670,0.32,0,64291,11.6,35,7873,approved
682,0.036,1,75346,1.6,54,29982,denied
630,0.383,0,70889,12.8,48,11997,denied
662,0.631,0,37010,11.1,18,10408,denied
715,0.568,0,36155,0.2,21,12758,denied
850,0.133,0,123291,1.2,22,24181,approved
709,0.447,1,66081,1.5,71,21598,denied
641,0.181,0,63077,3.8,51,23024,approved
785,0.287,1,37695,3.1,53,24973,denied
710,0.243,1,73990,4.1,70,18823,denied
579,0.517,0,47623,1.3,34,34593,denied
705,0.774,0,67971,1.8,31,36339,denied
662,0.262,1,43054,4.9,39,22593,denied
646,0.485,0,40898,0.3,72,29525,denied
766,0.412,0,83303,32.8,37,37383,denied
696,0.254,3,81674,1.7,73,8741,denied
691,0.478,1,101693,6.4,54,5246,denied
743,0.286,0,37541,12.4,56,45174,approved
667,0.297,0,93856,7.6,32,13093,approved
766,0.167,0,74378,0.6,25,31014,approved
664,0.126,0,20338,8.8,62,22535,approved
737,0.125,0,108257,1.3,36,26331,approved
699,0.158,2,57353,6.0,41,31642,denied
656,0.21,0,36946,6.5,45,10641,approved
749,0.253,1,84423,2.5,60,32568,denied
610,0.355,0,72911,7.3,41,29752,denied
719,0.328,0,38013,1.5,57,3426,approved
728,0.369,0,83734,0.4,50,19326,approved
740,0.036,0,47260,11.4,38,10960,approved
649,0.191,1,122682,6.4,75,23427,denied
635,0.08,0,89855,6.5,56,11815,denied
715,0.336,0,30931,10.6,73,41996,approved
722,0.384,0,23909,2.2,57,9274,approved
659,0.388,0,47420,0.3,71,29704,approved
718,0.46,0,74707,8.3,74,16594,denied
626,0.377,1,63302,6.3,64,22648,denied
850,0.374,1,141183,2.0,60,24881,denied
622,0.555,0,80120,0.4,55,14210,denied
683,0.357,0,69139,7.6,61,25356,approved
719,0.343,0,112052,6.0,34,14860,approved
850,0.26,0,65685,7.9,56,14593,approved
664,0.409,2,52266,0.6,37,6266,denied
695,0.349,0,69395,5.6,45,15512,approved
598,0.38,0,53589,30.4,51,34167,denied
681,0.0,0,108760,2.9,42,17575,approved
850,0.419,1,43477,4.9,66,31964,denied
641,0.338,0,39719,6.3,19,18197,approved
702,0.275,0,47220,3.8,50,13105,approved
594,0.403,0,54936,0.1,19,25045,denied
717,0.352,0,57313,2.1,45,23405,approved
627,0.468,0,115957,8.1,56,34838,denied
687,0.288,0,35126,25.4,23,7141,approved
742,0.275,0,67819,3.7,72,8301,approved
737,0.44,0,44710,6.7,51,11959,denied
634,0.116,2,55638,2.1,48,25929,denied
639,0.12,1,55296,22.6,19,15734,denied
587,0.206,0,30035,1.5,20,18953,denied
678,0.328,0,72456,13.8,49,20687,approved
677,0.172,0,71233,6.6,40,18054,approved
596,0.479,0,47124,6.7,62,33791,denied
663,0.329,0,89043,27.2,69,24316,approved
661,0.208,0,82805,31.3,43,19745,approved
742,0.397,0,63279,0.2,45,2891,approved
702,0.507,0,83200,2.5,62,1000,denied
633,0.649,0,61034,6.8,47,20624,denied
785,0.248,0,60822,8.6,41,11647,approved
738,0.266,0,95343,1.0,63,26073,approved
847,0.232,0,73531,0.4,35,20698,approved
761,0.613,0,81543,10.2,21,1000,denied
790,0.342,0,136945,1.6,64,26323,approved
665,0.487,0,96155,1.8,57,1000,denied
750,0.456,0,79626,1.2,45,28377,denied
575,0.575,0,80373,10.9,37,14430,denied
623,0.305,0,75330,0.7,55,1474,denied
624,0.167,0,86781,7.1,44,44300,denied
674,0.275,0,57156,5.4,66,20958,approved
726,0.421,0,46300,5.8,69,1998,denied
